tarfile,netfile,Timestamp,Time_created,yaml,stamp,d
jena-jena-2.10.0.tar.gz,jena-2.10.0,1361361652,2013-02-20-13:00,jena2100,1361318400,20-Feb-13
jena-jena-2.10.1.tar.gz,jena-2.10.1,1368306099,2013-05-11-23:01,jena2101,1368230400,11-May-13
jena-jena-2.11.0.tar.gz,jena-2.11.0,1378979235,2013-09-12-11:47,jena2110,1378944000,12-Sep-13
jena-jena-2.7.1.tar.gz,jena-2.7.1,1339595734,2012-06-13-15:55,jena271,1339545600,13-Jun-12
jena-jena-2.13.0.tar.gz,jena-2.13.0,,,,1431043200,8-May-15
jena-jena-2.12.0.tar.gz,jena-2.12.0,,,,1406332800,26-Jul-14
jena-jena-3.0.0.tar.gz,jena-3.0.0,,,,1437782400,25-Jul-15
jena-jena-3.0.1.tar.gz,jena-3.0.1,,,,1449532800,8-Dec-15
jena-jena-3.1.0.tar.gz,jena-3.1.0,,,,1462838400,10-May-16
jena-jena-3.1.1.tar.gz,jena-3.1.1,,,,1478217600,4-Nov-16
jena-jena-3.2.0.tar.gz,jena-3.2.0,,,,1485820800,31-Jan-17
jena-jena-3.3.0.tar.gz,jena-3.3.0,,,,1493683200,2-May-17
jena-jena-3.4.0.tar.gz,jena-3.4.0,,,,1500249600,17-Jul-17
jena-jena-3.5.0.tar.gz,jena-3.5.0,,,,1509321600,30-Oct-17
jena-jena-3.6.0.tar.gz,jena-3.6.0,,,,1513123200,13-Dec-17
jena-jena-3.7.0.tar.gz,jena-3.7.0,,,,1522886400,5-Apr-18
jena-jena-3.8.0.tar.gz,jena-3.8.0,,,,1529884800,25-Jun-18
jena-jena-3.9.0.tar.gz,jena-3.9.0,,,,1538092800,28-Sep-18
jena-jena-3.10.0.tar.gz,jena-3.10.0,,,,1546128000,30-Dec-18
jena-jena-3.11.0.tar.gz,jena-3.11.0,,,,1556064000,24-Apr-19
jena-jena-3.12.0.tar.gz,jena-3.12.0,,,,1558915200,27-May-19
jena-jena-3.13.0.tar.gz,jena-3.13.0,,,,1569369600,25-Sep-19
jena-jena-3.14.0.tar.gz,jena-3.14.0,,,,1579132800,16-Jan-20
jena-jena-3.15.0.tar.gz,jena-3.15.0,,,,1588636800,5-May-20
jena-jena-3.16.0.tar.gz,jena-3.16.0,,,,1594252800,9-Jul-20
jena-jena-3.17.0.tar.gz,jena-3.17.0,,,,1604534400,5-Nov-20
jena-jena-4.0.0.tar.gz,jena-4.0.0,,,,1616803200,27-Mar-21
jena-jena-2.11.2.tar.gz,jena-2.11.2,,,,1401667200,2-Jun-14
jena-jena-2.11.1.tar.gz,jena-2.11.1,,,,1390003200,18-Jan-14
jena-jena-2.7.4.tar.gz,jena-2.7.4,1350748830,2012-10-20-18:00,jena274,1350691200,20-Oct-12
hadoop-release-0.1.0.tar.gz,Hadoop_010,1245643811,2009-06-22-06:10,hadoop010,1143849600,1-Apr-06
hadoop-release-0.1.1.tar.gz,Hadoop_011,1245643811,2009-06-22-06:10,hadoop011,1144454400,8-Apr-06
hadoop-release-0.2.0.tar.gz,Hadoop_020,1245643811,2009-06-22-06:10,hadoop020,1146873600,6-May-06
hadoop-release-0.2.1.tar.gz,Hadoop_021,1245643811,2009-06-22-06:10,hadoop021,1147392000,12-May-06
hadoop-release-0.3.0.tar.gz,Hadoop_030,1245643811,2009-06-22-06:10,hadoop030,1149292800,3-Jun-06
hadoop-release-0.3.1.tar.gz,Hadoop_031,1245643811,2009-06-22-06:10,hadoop031,1149552000,6-Jun-06
hadoop-release-0.3.2.tar.gz,Hadoop_032,1245643811,2009-06-22-06:10,hadoop032,1149897600,10-Jun-06
hadoop-release-0.4.0.tar.gz,Hadoop_040,1245643811,2009-06-22-06:10,hadoop040,1151539200,29-Jun-06
hadoop-release-0.5.0.tar.gz,Hadoop_050,1245643811,2009-06-22-06:10,hadoop050,1154736000,5-Aug-06
hadoop-release-0.6.0.tar.gz,Hadoop_060,1245643811,2009-06-22-06:10,hadoop060,1157760000,9-Sep-06
hadoop-release-0.6.1.tar.gz,Hadoop_061,1245643811,2009-06-22-06:10,hadoop061,1158105600,13-Sep-06
hadoop-release-0.6.2.tar.gz,Hadoop_062,1245643811,2009-06-22-06:10,hadoop062,1158537600,18-Sep-06
hadoop-release-0.7.0.tar.gz,Hadoop_070,1245643811,2009-06-22-06:10,hadoop070,1160092800,6-Oct-06
hadoop-release-0.7.1.tar.gz,Hadoop_071,1245643811,2009-06-22-06:10,hadoop071,1160524800,11-Oct-06
hadoop-release-0.8.0.tar.gz,Hadoop_080,1245643811,2009-06-22-06:10,hadoop080,1162598400,4-Nov-06
hadoop-release-0.9.0.tar.gz,Hadoop_090,1245643811,2009-06-22-06:10,hadoop090,1165017600,2-Dec-06
hadoop-release-0.9.1.tar.gz,Hadoop_091,1245643811,2009-06-22-06:10,hadoop091,1165449600,7-Dec-06
hadoop-release-0.9.2.tar.gz,Hadoop_092,1245643811,2009-06-22-06:10,hadoop092,1166227200,16-Dec-06
hadoop-release-0.10.0.tar.gz,Hadoop_0100,1245643811,2009-06-22-06:10,hadoop0100,1168041600,6-Jan-07
hadoop-release-0.11.0.tar.gz,Hadoop_0110,1245643811,2009-06-22-06:10,hadoop0110,1168473600,11-Jan-07
